name;CAS;m_mol;S;p_vap;H;koc;kow;D_air;D_w;BA;NA;LOD_w;LOD_s;NA;lamnda_s;lambda_u;NA;theta_ag;theta_bg;EPA_w;is_carc;SF_o;UR_inhal;Ref_oral;Ref_inhal;ads_derm;ads_gast;derm_per;derm_lag;derm_exp;derm_contr;MCL1;MCL2;NA;PEL_TWA;NA;AQLP_w;AQLP_w;HH_w;HH_fish;HH_fish_salt;NA
cyanide;57125;  26.0177	;  100000	;  13.8	;  0	;  0.9956351946	;  -0.6928	;  0.5214645	;  2.28e-005	;  1	; ;  0.05	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.02	;  0.005	;  0.01	;  0.5	;  -	;  -	;  -	;  -	;  0.2	;  -	; ;  5	; ;  0.01069	;  0.0056	;  0.2	;  220	;  220	; 
acrylonitrile;107131;  53.06352	;  75000	;  110	;  0.0045727	;  0.04	;  0.2092	;  0.122	;  1.34e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B1	;  TRUE	;  0.54	;  6.8e-005	;  0.001	;  0.002	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  4.34	; ;  -	;  -	;  0.00128	;  0.0109	;  0.0073	; 
cyanogen;460195;  52.0354	;  10000	;  3876	;  0.2061872	;  0.133833	;  0.07	;  0.20355	;  1.37e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.04	;  0.021	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cycloate;1134232;  215.359	;  83.24648629	;  0.0006042518144	;  8.5503030895e-005	;  3.4442	;  3.8	;  0.04280140374	;  5.604669705e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.055	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cyclohexane;110827;  84.1608	;  42.46948556	;  61.63124795	;  6.6803658695	;  2.866487024	;  3.520756439	;  0.07836486242	;  8.3867285921e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  5	;  1	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cyclohexanol;108930;  100.16	;  2.088	;  0.2844	;  3.5155749e-005	;  1.08812678	;  1.10666	;  0.072	;  8.6345502507e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  5	;  0.2	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cyclohexanone;108941;  98.1448	;  23000	;  4	;  0.00049884	;  0.73868385672	;  1.1259	;  0.0772	;  8.73e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  5	;  0.1	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cyclotetramethylenetetranitramine-hmx;2691410;  296.15	;  2370	;  4.75e-015	;  2.5e-014	;  -1.4	;  -1.3	;  0.0374	;  6.34e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.05	;  0.0027	;  0.1	;  0.15	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cyclotrimethylenetrinitramine;121824;  222.11724	;  38.65	;  1e-009	;  0.00049884	;  1.8	;  0.87	;  0.066541614222	;  6.3924121769e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  0.11	;  -	;  0.003	;  0.0005	;  0.1	;  1	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cymene-isopropyltoluene;99876;  134.22	;  17.15	;  1.0835	;  0.466	;  3.36	;  4.14	;  0.057249	;  6.73e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.1	;  0.3	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cymoxanil;57966957;  198.18	;  4470	;  1.13e-006	;  1.37181e-008	;  -3.89	;  0.6	;  0.04910387477	;  6.7645653107e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.013	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dacthal-dcpa;1861321;  331.97	;  0.22	;  1.13e-007	;  9.35325e-006	;  4.66659	;  4.71	;  0.042	;  2.0529287912	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.01	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
adipic-acid-hexanedioic-acid;124049;  146.1426	;  77202.09515	;  1.741443829e-007	;  1.8031159118e-011	;  -6.5588589533	;  0.1254269875	;  0.06126445335	;  7.9003107253e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.5	;  0.001	;  0.1	;  0.5	;  	;  	;  	;  	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dalapon-sodium-salt-2-2-dichloropropanoic-acid;75990;  142.9688	;  69830.64086	;  0.1300479632	;  1.4563482261e-005	;  1.4	;  1.6	;  0.06980101479	;  8.7000374396e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.03	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.2	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ddd;72548;  320.0454	;  0.09	;  8.66e-007	;  0.00016628	;  4.93	;  5.8734	;  0.0169	;  4.76e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.24	;  -	;  -	;  -	;  0.03	;  0.7	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  1.03e-005	;  1e-005	;  7e-006	; 
dde;72559;  241.93176	;  0.065	;  5.66e-006	;  0.00087297	;  5.04	;  5.9956	;  0.0144	;  5.87e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.34	;  -	;  -	;  -	;  0.03	;  0.7	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  7.3e-006	;  7e-006	;  5e-006	; 
ddt;50293;  354.49046	;  0.0031	;  3.93e-007	;  0.002232309	;  5.1378031368	;  6.7945	;  0.0137	;  4.95e-006	;  1	; ;  -	;  -	; ;  11250	;  11250	; ;  -	;  -	;  B2	;  TRUE	;  0.34	;  9.7e-005	;  0.0005	;  -	;  0.03	;  0.7	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1	; ;  1e-006	;  1e-006	;  7.3e-006	;  7e-006	;  5e-006	; 
demeton;8065483;  258.34	;  720	;  0.0001	;  0.0066512	;  2.430343	;  2.97	;  0.0456	;  5.45e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  4e-005	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  0.1	; ;  0.0001	;  0.0001	;  -	;  -	;  -	; 
diacetone-alcohol-4-hydroxy-4-methyl-2-pentanone;123422;  116.1596	;  680758.5462	;  0.1797867793	;  1.6779777216e-006	;  0.26666857974	;  0.2709955033	;  0.06385699515	;  7.7373971563e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.04	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  240	; ;  -	;  -	;  -	;  -	;  -	; 
diallate;2303164;  270.22308	;  14	;  0.00015	;  0.000157966	;  3.278753601	;  4.0756	;  0.08	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.061	;  -	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diazinon;333415;  304.3501	;  40	;  8.4e-005	;  4.69741e-006	;  2.12	;  3.8637	;  0.018	;  4.9e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0009	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dibenz-a-h-acridine;226368;  279.34	;  0.000684	;  3.79e-013	;  8.44e-009	;  6.28	;  6.39	;  0.0378	;  5.39e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  1.2	;  0.00011	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dibenz-a-h-anthracene;53703;  278.35316	;  0.0005	;  2.1e-011	;  4.65584e-007	;  6.28	;  6.697	;  0.02	;  5.18e-006	;  1	; ;  0.01	;  0.66	; ;  1880	;  1880	; ;  -	;  -	;  B2	;  TRUE	;  7.3	;  0.00088	;  -	;  -	;  0.13	;  0.89	;  2.7	;  4.4	;  21	;  690	;  -	;  -	; ;  -	; ;  -	;  -	;  2.8e-006	;  0.00031	;  3.1e-005	; 
alachlor;15972608;  269.7713	;  240	;  2.1982230997e-005	;  8.6176702863e-007	;  2.278753601	;  3.3677	;  0.0194	;  5.83e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.08	;  -	;  0.01	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.002	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dibenz-a-j-acridine;224420;  279.3404	;  0.0008140002541	;  3.771592354e-013	;  7.0794641875e-009	;  6.354090287	;  6.355033973	;  0.03786028949	;  5.4078262026e-006	;  1	; ;  0.01	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.73	;  8.8e-005	;  -	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dibenzofuran;132649;  168.1846	;  2.860642162	;  0.001642723597	;  0.0052829857717	;  3.9287615393	;  3.996420691	;  0.05506591258	;  7.0424185732e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.004	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dibenzothiophene;132650;  184.2612	;  0.2107190899	;  2.046934913e-005	;  0.00097904009722	;  4.5360122359	;  4.61417318	;  0.05218565123	;  6.7396744882e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dibromo-3-chloropropane-1-2;96128;  236.3337	;  1000	;  0.76	;  0.008314	;  2.23	;  2.6822	;  0.08	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  1.4	;  6.9e-007	;  -	;  0.0002	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.0002	;  -	; ;  0.0097	; ;  -	;  -	;  -	;  -	;  -	; 
dibromochloromethane;124481;  208.27994	;  5250	;  15	;  0.03254931	;  1.8	;  1.7	;  0.0196	;  1.05e-005	;  1	; ;  0.001	;  -	; ;  180	;  180	; ;  -	;  -	;  C	;  TRUE	;  0.084	;  -	;  0.02	;  -	;  0	;  0.6	;  -	;  -	;  -	;  -	;  0.1	;  -	; ;  -	; ;  -	;  -	;  0.0092	;  0.0716	;  0.0477	; 
dibromofluoromethane;1868537;  191.8253	;  12623.90401	;  137.4672441	;  0.11425569618	;  1.3993745621	;  1.668107794	;  0.0869724022	;  1.0119962322e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.2	;  5	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dicamba;1918009;  209.02884	;  5600	;  9.7e-005	;  3.28403e-007	;  0.34242268082	;  2.1443	;  0.060200277121	;  6.6897729904e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.03	;  0.01	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloro-2-butene-1-4;764410;  124.99764	;  6910	;  12.6	;  0.01242943	;  2.26	;  2.5988	;  0.0743	;  8.62e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  -	;  0.0026	;  -	;  -	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloro-2-butene-1-4-trans;110576;  124.9968	;  1274.179506	;  2.515329417	;  0.013496761745	;  2.3105690548	;  2.350243189	;  0.07141607158	;  8.4805593096e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  -	;  0.0026	;  -	;  -	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorobenzene-1-2;95501;  147.00376	;  150	;  1.36	;  0.087297	;  2.84	;  3.282	;  0.069	;  7.9e-006	;  1	; ;  0.01	;  0.66	; ;  360	;  360	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.09	;  0.03	;  0	;  0.8	;  0.061	;  0.69	;  3.2	;  0.24	;  0.6	;  -	; ;  150	; ;  -	;  -	;  2.7	;  17	;  17	; 
aldicarb;116063;  190.26636	;  6000	;  2.9e-005	;  5.8198e-008	;  1.1983676538	;  1.359	;  0.0305	;  7.2e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.003	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorobenzene-1-3;541731;  147	;  110	;  2.3	;  0.195	;  2.23	;  3.28	;  0.068	;  8.13e-006	;  1	; ;  0.01	;  0.66	; ;  360	;  360	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.03	;  0.008	;  0	;  0.8	;  0.087	;  0.69	;  4.1	;  0.4	;  -	;  -	; ;  -	; ;  -	;  -	;  0.4	;  2.6	;  2.6	; 
dichlorobenzene-1-4;106467;  147.00376	;  73.8	;  1.06	;  0.1168117	;  2.81	;  3.282	;  0.069	;  7.9e-006	;  1	; ;  0.01	;  0.66	; ;  360	;  360	; ;  -	;  -	;  C	;  TRUE	;  0.024	;  -	;  -	;  0.8	;  0	;  0.9	;  0.062	;  0.69	;  3.3	;  0.25	;  0.075	;  -	; ;  450	; ;  -	;  -	;  0.075	;  2.6	;  2.6	; 
dichlorobenzidine-3-3;91941;  253.1308	;  3.11	;  2.2e-007	;  8.64656e-007	;  2.86	;  3.212	;  0.0194	;  6.74e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.45	;  -	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.0004	;  0.00077	;  0.00077	; 
dichlorobutane-2-3;7581977;  127.0126	;  451.6417216	;  15.03550933	;  0.23127960063	;  2.3035228877	;  2.809853375	;  0.07095557729	;  8.0712364105e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.01	;  0.007	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorodifluoromethane;75718;  120.913806	;  280	;  4800	;  16.66957	;  2.11	;  1.8155	;  0.052	;  1.05e-005	;  1	; ;  0.005	;  -	; ;  360	;  360	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.2	;  4.95	;  0	;  0.23	;  0.012	;  0.48	;  1.1	;  0.014	;  -	;  -	; ;  4950	; ;  -	;  -	;  -	;  -	;  -	; 
dichloroethane-1-1;75343;  98.95976	;  5500	;  228	;  0.2394432	;  1.5	;  1.7581	;  0.0742	;  1.05e-005	;  1	; ;  0.001	;  0.005	; ;  360	;  360	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.1	;  0.4	;  0	;  1	;  0.0089	;  0.35	;  0.84	;  0.0062	;  -	;  -	; ;  400	; ;  -	;  -	;  -	;  -	;  -	; 
dichloroethane-1-2;107062;  98.95976	;  8700	;  81.3	;  0.0532096	;  1.24	;  1.8316	;  0.104	;  9.9e-006	;  1	; ;  0.0005	;  0.005	; ;  360	;  360	; ;  -	;  -	;  B2	;  TRUE	;  0.091	;  2.6e-005	;  -	;  2.4235043265	;  0	;  1	;  0.0053	;  0.35	;  0.84	;  0.003	;  0.005	;  -	; ;  202.5	; ;  -	;  -	;  0.005	;  0.0739	;  0.0493	; 
dichloroethylene-1-1;75354;  96.94388	;  2400	;  591	;  1.055878	;  1.81	;  2.1156	;  0.09	;  1.04e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.05	;  0.2	;  0	;  1	;  -	;  -	;  -	;  -	;  0.007	;  -	; ;  -	; ;  -	;  -	;  0.00163	;  0.00584	;  0.0039	; 
dichloroethylene-cis-1-2;156592;  96.94388	;  4930	;  175	;  0.1874807	;  1.4623979979	;  1.86	;  0.0735	;  1.13e-005	;  1	; ;  0.001	;  0.005	; ;  2875	;  2875	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.01	;  0.793	;  0	;  1	;  -	;  -	;  -	;  -	;  0.07	;  -	; ;  790	; ;  -	;  -	;  -	;  -	;  -	; 
dichloroethylene-trans-1-2;156605;  96.94388	;  6300	;  352	;  0.3899266	;  1.7	;  2.07	;  0.0707	;  1.19e-005	;  1	; ;  0.001	;  0.005	; ;  2875	;  2875	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  0.793	;  0	;  1	;  0.01	;  0.34	;  0.82	;  0.0072	;  0.1	;  -	; ;  790	; ;  -	;  -	;  -	;  140	;  -	; 
aldicarb-sulfone;1646884;  222.26516	;  8000	;  9.0029615005e-005	;  1.0956752221e-007	;  0.23044892138	;  -0.6657	;  0.05547229185	;  5.7933854886e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.002	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorophenol-2-3;576249;  163.0024	;  6942.71331	;  0.007319507164	;  9.3996793584e-006	;  2.1355439529	;  2.77	;  0.06632806024	;  8.2080364337e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  0.053	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorophenol-2-4;120832;  163.00316	;  4500	;  0.0715	;  0.0001313612	;  1.8573324964	;  2.8018	;  0.0346	;  8.77e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  0.053	;  0.1	;  0.82	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.093	;  0.79	;  0.79	; 
dichlorophenol-2-5;583788;  163.0024	;  8344.046941	;  0.008504869897	;  9.0876452817e-006	;  2.090978504	;  2.73	;  0.06625808231	;  8.1859814591e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  0.053	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorophenol-3-4;95772;  163.0024	;  6798.894924	;  0.002098966047	;  2.7525011898e-006	;  2.8065819413	;  2.89	;  0.06495628239	;  8.2131036395e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  0.053	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorophenol-3-5;591355;  163.0024	;  10598.04786	;  0.004377417518	;  3.6825828481e-006	;  2.6062564993	;  2.75	;  0.06509143096	;  8.1768123066e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  0.053	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorophenoxy-2-4-butyric-acid-4-2-4-db;94826;  249.0926	;  77.63840764	;  1.820336115e-007	;  3.1944950824e-008	;  0.27413838135	;  3.78674525	;  0.04407602244	;  6.1254606298e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.008	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichlorophenoxyacetic-acid-2-4;94757;  221.03984	;  890	;  2.4e-005	;  5.8198e-009	;  2.95	;  2.6172	;  0.059	;  6.5e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.01	;  0.001	;  0.05	;  0.9	;  -	;  -	;  -	;  -	;  0.07	;  -	; ;  10	; ;  -	;  -	;  0.07	;  -	;  -	; 
dichloroprop-2-2-4-dichlorophenoxy-propanoic-acid;120365;  235.0658	;  230	;  1.6e-005	;  9e-007	;  -1.5442186185	;  3.263494783	;  0.04702274098	;  6.4300379553e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.01	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloropropane-1-2;78875;  112.98664	;  2800	;  50	;  0.1168117	;  1.77	;  2.2492	;  0.0782	;  8.73e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.068	;  -	;  0.09	;  0.004	;  0	;  0.74	;  -	;  -	;  -	;  -	;  0.005	;  -	; ;  350	; ;  -	;  -	;  -	;  -	;  -	; 
aldrin;309002;  364.91352	;  0.0784	;  1.67e-005	;  0.0070669	;  4.68	;  6.7488	;  0.0132	;  4.86e-006	;  1	; ;  -	;  -	; ;  1180	;  1180	; ;  -	;  -	;  B2	;  TRUE	;  17	;  0.0049	;  3e-005	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  0.25	; ;  0.003	;  0.0013	;  4.08e-006	;  4.26e-006	;  2.8e-006	; 
acenaphthene;83329;  154.2114	;  4.24	;  0.00375	;  0.00644335	;  3.6	;  4.1512	;  0.0421	;  7.69e-006	;  1	; ;  0.01	;  0.66	; ;  204	;  204	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.06	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloropropane-1-3;142289;  112.9858	;  2157.103267	;  19.26539526	;  0.055194688178	;  2.0971048	;  2.23209	;  0.07914	;  9.0674970503e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.1	;  4e-006	;  0.03	;  0.02	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloropropane-2-2;594207;  112.9858	;  1681.967748	;  92.35873912	;  0.33935216844	;  2.1921763518	;  2.364133822	;  0.0796168852	;  8.7113925085e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.068	;  -	;  0.09	;  0.004	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloropropanol-2-3;616239;  128.98604	;  295000	;  0.5817460556	;  3.974092e-005	;  1.53	;  0.7844	;  0.0484	;  9.84e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloropropene-1-1;563586;  110.97	;  543.7684111	;  162.9433278	;  1.8188405383	;  2.3142618642	;  2.823414401	;  0.08211307891	;  8.9545055853e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.1	;  4e-006	;  0.03	;  0.02	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloropropene-1-3;542756;  110.97076	;  1550	;  31.16	;  0.1226315	;  1.72	;  1.75	;  0.0626	;  1e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.1	;  4e-006	;  0.03	;  0.02	;  0	;  0.55	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.0228	;  0.161	;  0.107	; 
dichloropropene-1-3-cis;10061015;  110.97	;  2700	;  37	;  0.0915	;  1.65	;  1.53	;  0.0794	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.54	;  -	;  0.0001	;  0.0067	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dichloropropene-1-3-trans;10061026;  110.97	;  2800	;  30	;  0.0915	;  1.65	;  1.53	;  0.0794	;  9.2e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.1	;  4e-006	;  0.03	;  0.02	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
