,CAS,nombre,name,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau.,Kp,Kp_ref
464,59-50-7,"Fenol, 4-cloro-3-metil -","Cresol, p-chloro-m-",140,PHYSPROP,0.0001,0.0000025,EPI,0.05,PHYSPROP,67,PHYSPROP,NA,,0.07,0.0000081,WATER 9,NA,,490,EPI,3.1,PHYSPROP,3800,PHYSPROP,0.13,0.66,1.6,0.029,EPI
465,59-87-0,"Hidrazincarboxamida, 2 - [(5-nitro-2-furanil) metileno] -",Nitrofurazone,200,PHYSPROP,1.3E-011,3.1E-013,PHYSPROP,0.0000043,PHYSPROP,240,EPI,NA,,0.056,0.0000065,WATER 9,NA,,350,EPI,0.23,PHYSPROP,210,PHYSPROP,0.00093,1.4,3.2,0.00017,EPI
466,59-89-2,NA,Nitrosomorpholine [N-],120,PHYSPROP,0.000001,0.000000025,PHYSPROP,0.036,PHYSPROP,29,PHYSPROP,NA,,0.08,0.0000093,WATER 9,NA,,23,EPI,-0.44,PHYSPROP,1000000,PHYSPROP,0.00074,0.47,1.1,0.00018,EPI
467,5902-51-2,"2,4(1H,3H)-Pirimidindiona, 5-cloro-3-(1,1-dimetiletil)-6-metil-",Terbacil,220,PHYSPROP,4.9E-009,1.2E-010,EPI,0.00000047,PHYSPROP,180,PHYSPROP,1.3,CRC89,0.027,0.0000072,WATER 9,NA,,50,EPI,1.9,PHYSPROP,710,PHYSPROP,0.0097,1.7,4.1,0.0017,EPI
468,591-27-5,"Fenol, 3-amino-","Aminophenol, m-",110,PHYSPROP,8.1E-009,2E-010,PHYSPROP,0.0096,PHYSPROP,120,PHYSPROP,NA,,0.083,0.0000097,WATER 9,NA,,90,EPI,0.21,PHYSPROP,27000,PHYSPROP,0.0021,0.43,1,0.00053,EPI
469,591-78-6,2-hexanona,"Hexanone, 2-",100,PHYSPROP,0.0038,0.000093,EPI,12,PHYSPROP,-56,PHYSPROP,0.81,CRC89,0.07,0.0000084,WATER 9,NA,,15,EPI,1.4,PHYSPROP,17000,PHYSPROP,0.014,0.38,0.92,0.0036,EPI
470,592-01-8,Cianuro de calcio (Ca (CN) 2),~Calcium Cyanide,92,PHYSPROP,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0037,0.34,0.83,0.001,RAGSE
471,593-60-2,"Eteno, bromo -",Vinyl Bromide,110,PHYSPROP,0.5,0.012,PHYSPROP,1000,PHYSPROP,-140,PHYSPROP,1.5,CRC89,0.086,0.000012,WATER 9,NA,,22,EPI,1.6,PHYSPROP,7600,PHYSPROP,0.017,0.42,1,0.0044,EPI
472,59756-60-4,NA,Fluridone,330,PHYSPROP,0.00000033,8.1E-009,EPI,0.000000098,PHYSPROP,150,PHYSPROP,NA,,0.04,0.0000047,WATER 9,NA,,57000,EPI,3.2,PHYSPROP,12,PHYSPROP,0.02,7.3,18,0.0028,EPI
473,598-77-6,NA,"Trichloropropane, 1,1,2-",150,PHYSPROP,0.013,0.00032,EPI,3.1,PHYSPROP,-65,EPI,1.4,CRC89,0.057,0.0000092,WATER 9,NA,,95,EPI,2.4,PHYSPROP,1900,PHYSPROP,0.045,0.7,1.7,0.0096,EPI
