,CAS,nombre,name,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau.,Kp,Kp_ref
526,67747-09-5,"1H-imidazol-1-, carboxamida N-propil-N-[2 - (2,4,6-triclorofenoxi) etil] -",Prochloraz,380,PHYSPROP,0.00000067,0.000000016,EPI,0.0000011,PHYSPROP,48,PHYSPROP,NA,,0.036,0.0000043,WATER 9,NA,,2400,EPI,4.1,PHYSPROP,34,PHYSPROP,0.048,14,32,0.0064,EPI
527,68-12-2,"Formamida, n, n-dimetil -",Dimethylformamide,73,PHYSPROP,0.000003,0.000000074,PHYSPROP,3.9,PHYSPROP,-60,PHYSPROP,0.94,CRC89,0.097,0.000011,WATER 9,NA,,1,EPI,-1,PHYSPROP,1000000,PHYSPROP,0.00043,0.27,0.65,0.00013,EPI
528,680-31-9,"Triamida fosfórico, n, n, n ', n', n'', n''-hexametil -",Hexamethylphosphoramide,180,PHYSPROP,0.00000082,0.00000002,PHYSPROP,0.046,PHYSPROP,7.2,PHYSPROP,1,CRC89,0.035,0.0000069,WATER 9,NA,,10,EPI,0.28,PHYSPROP,1000000,PHYSPROP,0.0012,1.1,2.5,0.00024,EPI
529,68085-85-8,"Ácido ciclopropanocarboxílico, 3 - (2-cloro-3 ,3,3-trifluoro-1-propen-1-il) -2,2-dimetil-, ciano (3-fenoxifenil) metil éster",Cyhalothrin,450,PHYSPROP,0.000061,0.0000015,EPI,1.5E-009,PHYSPROP,49,PHYSPROP,NA,,0.032,0.0000038,WATER 9,NA,,340000,EPI,6.9,PHYSPROP,0.005,PHYSPROP,1.7,35,140,0.21,EPI
530,68333-79-9,NA,~Ammonium polyphosphate,NA,,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,0.001,RAGSE
531,68359-37-5,"Ácido ciclopropanocarboxílico, 3 - (2,2-dicloroetenil) -2,2-dimetil-, ciano-(4-fluoro-3-fenoxifenil) metil éster",Cyfluthrin,430,PHYSPROP,0.0000012,0.000000029,EPI,1.5E-010,PHYSPROP,60,PHYSPROP,NA,,0.033,0.0000039,WATER 9,NA,,130000,EPI,6,PHYSPROP,0.003,PHYSPROP,0.41,28,68,0.052,EPI
532,684-93-5,"Urea, n-metil-n-nitroso -","Nitroso-N-methylurea, N-",100,PHYSPROP,4.1E-009,9.9E-011,PHYSPROP,0.029,PHYSPROP,120,EPI,NA,,0.086,0.00001,WATER 9,NA,,11,EPI,-0.03,PHYSPROP,14000,PHYSPROP,0.0015,0.4,0.95,0.0004,EPI
533,68631-49-2,NA,"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153)",640,PubChem,NA,NA,,0.0000058,IRIS Profile,NA,,NA,,0.025,0.000003,WATER 9,NA,,NA,,NA,,0.0009,IRIS Profile,NA,420,1000,NA,
534,688-73-3,NA,Tri-n-butyltin,290,PHYSPROP,62,1.5,PHYSPROP,0.04,PHYSPROP,29,EPI,1.1,CRC89,0.021,0.0000054,WATER 9,NA,,8100,EPI,4.1,PHYSPROP,0.0073,PHYSPROP,0.13,4.5,11,0.019,EPI
535,68915-31-1,"Ácidos polifosfóricos, sales de sodio",~Sodium polyphosphate,360,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0073,11,26,0.001,RAGSE
536,69409-94-5,"Valina, N-[2-cloro-4-(trifluorometil) fenil] -, ciano (3-fenoxifenil) metil éster",Fluvalinate,500,PHYSPROP,0.00000059,0.000000015,PHYSPROP,0.0000001,PHYSPROP,160,EPI,NA,,0.03,0.0000035,WATER 9,NA,,730000,EPI,6.8,PHYSPROP,0.005,PHYSPROP,0.68,69,270,0.079,EPI
537,69782-90-7,NA,"~Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157)",360,PHYSPROP,0.0066,0.00016,EPI,0.00000058,EPI,150,EPI,1.6,l,0.044,0.0000059,WATER 9,NA,,210000,EPI,7.6,PHYSPROP,0.0016,EPI,12,11,50,1.7,EPI
538,69806-40-2,"Ácido propanoico, 2 - [4 - [[3-cloro-5-(trifluorometil)-2-piridil] oxi] fenoxi] -, metil éster","Haloxyfop, Methyl",380,PHYSPROP,0.000013,0.00000032,EPI,0.000006,PHYSPROP,56,PHYSPROP,NA,,0.036,0.0000043,WATER 9,NA,,5500,EPI,4.1,PHYSPROP,9.3,PHYSPROP,0.045,13,32,0.006,EPI
539,70-25-7,"Guanidina, n-metil-n'-nitro-n-nitroso -","Methyl-N-nitro-N-nitrosoguanidine, N-",150,PHYSPROP,5E-011,1.2E-012,PHYSPROP,0.00012,PHYSPROP,120,EPI,NA,,0.068,0.000008,WATER 9,NA,,72,EPI,-0.92,PHYSPROP,270000,PHYSPROP,0.00027,0.7,1.7,0.000057,EPI
540,70-30-4,"Fenol, 2,2 '-metilenbis [3,4,6-tricloro -",Hexachlorophene,410,PHYSPROP,2.2E-011,5.5E-013,PHYSPROP,1E-010,PHYSPROP,170,PHYSPROP,NA,,0.035,0.000004,WATER 9,NA,,670000,EPI,7.5,PHYSPROP,140,PHYSPROP,6.5,20,89,0.84,EPI
541,70362-50-4,NA,"~Tetrachlorobiphenyl, 3,4,4',5- (PCB 81)",290,EPI,0.0091,0.00022,EPI,0.0000085,EPI,120,EPI,1.4,LookChem,0.049,0.0000063,WATER 9,NA,,78000,EPI,6.3,EPI,0.032,EPI,3.8,4.5,20,0.58,EPI
542,709-98-8,"Propanamida, N-(3,4-diclorofenil)-",Propanil,220,PHYSPROP,0.00000007,1.7E-009,EPI,0.00000091,PHYSPROP,92,PHYSPROP,1.3,CRC89,0.027,0.0000069,WATER 9,NA,,180,EPI,3.1,PHYSPROP,150,PHYSPROP,0.059,1.8,4.2,0.01,EPI
543,71-36-3,1-butanol,"Butanol, N-",74,PHYSPROP,0.00036,0.0000088,PHYSPROP,6.7,PHYSPROP,-90,PHYSPROP,0.81,CRC89,0.09,0.00001,WATER 9,NA,,3.5,EPI,0.88,PHYSPROP,63000,PHYSPROP,0.0076,0.27,0.66,0.0023,EPI
544,71-43-2,Benceno,Benzene,78,PHYSPROP,0.23,0.0056,PHYSPROP,95,PHYSPROP,5.5,PHYSPROP,0.88,CRC89,0.09,0.00001,WATER 9,NA,,150,EPI,2.1,PHYSPROP,1800,PHYSPROP,0.051,0.29,0.69,0.015,EPI
545,71-55-6,"Etano, 1,1,1-tricloro -","Trichloroethane, 1,1,1-",130,PHYSPROP,0.7,0.017,PHYSPROP,120,PHYSPROP,-30,PHYSPROP,1.3,CRC89,0.065,0.0000096,WATER 9,NA,,44,EPI,2.5,PHYSPROP,1300,PHYSPROP,0.056,0.59,1.4,0.013,EPI
546,72-20-8,"2,7:3,6-dimetanonaft [2,3-b] oxireno, 3,4,5,6,9,9-hexacloro-1a, 2,2 a, 3,6,6 a, 7,7 a-octahidro - , (1ar, 2r, 2ar, 3r, 6s, 6as, 7s, 7as)-rel -",Endrin,380,PHYSPROP,0.00026,0.0000064,PHYSPROP,0.000003,PHYSPROP,230,PHYSPROP,NA,,0.036,0.0000042,WATER 9,NA,,20000,EPI,5.2,PHYSPROP,0.25,PHYSPROP,0.24,14,34,0.033,EPI
547,72-43-5,"Benceno, 1,1 '- (2,2,2-tricloroetilideno) bis [4-metoxi -",Methoxychlor,350,PHYSPROP,0.0000083,0.0000002,PHYSPROP,0.0000026,PHYSPROP,87,PHYSPROP,1.4,CRC89,0.022,0.0000056,WATER 9,NA,,27000,EPI,5.1,PHYSPROP,0.1,PHYSPROP,0.31,9.1,22,0.043,EPI
548,72-54-8,"Benceno, 1,1 '- (2,2-dicloroetilideno) bis [4-cloro -","DDD, p,p`- (DDD)",320,PHYSPROP,0.00027,0.0000066,PHYSPROP,0.0000014,PHYSPROP,110,PHYSPROP,NA,,0.041,0.0000047,WATER 9,NA,,120000,EPI,6,PHYSPROP,0.09,PHYSPROP,1.7,6.5,26,0.25,EPI
549,72-55-9,NA,"DDE, p,p'-",320,PHYSPROP,0.0017,0.000042,PHYSPROP,0.000006,EPI,89,PHYSPROP,1.4,LookChem,0.023,0.0000059,WATER 9,NA,,120000,EPI,6.5,PHYSPROP,0.04,PHYSPROP,3.7,6.4,27,0.55,EPI
550,72178-02-0,"Benzamida, 5 - [2-cloro-4-(trifluorometil) fenoxi]-N-(metilsulfonil)-2-nitro -",Fomesafen,440,PHYSPROP,3.1E-011,7.5E-013,PHYSPROP,0.00000075,EPI,220,PHYSPROP,1.3,CRC89,0.019,0.0000046,WATER 9,NA,,1500,EPI,2.9,PHYSPROP,50,PHYSPROP,0.0037,30,72,0.00046,EPI
551,7287-19-6,"1,3,5-Triazina-2,4-diamina, N2,N4-bis(1-metiletil)-6-(metiltio)-",Prometryn,240,PHYSPROP,0.00000049,0.000000012,EPI,0.0000012,PHYSPROP,120,PHYSPROP,1.2,CRC89,0.024,0.0000062,WATER 9,NA,,660,EPI,3.5,PHYSPROP,33,PHYSPROP,0.089,2.4,5.7,0.015,EPI
552,732-11-6,"Ácido fosforoditioico, S-[(1,3-dihidro-1 ,3-dioxo-2H-isoindol-2-il) metil] O, O-dimetil éster",Phosmet,320,PHYSPROP,0.00000034,8.4E-009,EPI,0.00000049,PHYSPROP,72,PHYSPROP,NA,,0.041,0.0000048,WATER 9,NA,,10,EPI,2.8,PHYSPROP,24,PHYSPROP,0.013,6.3,15,0.0018,EPI
553,7320-34-5,NA,~Tetrapotassium phosphate,330,PHYSPROP,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.007,7.4,18,0.001,RAGSE
554,74-11-3,"Ácido benzoico, 4-cloro -","Chlorobenzoic Acid, p-",160,PHYSPROP,0.0000033,0.00000008,PHYSPROP,0.0023,PHYSPROP,240,PHYSPROP,1.5,PERRY,0.055,0.0000095,WATER 9,NA,,27,EPI,2.7,PHYSPROP,72,PHYSPROP,0.058,0.79,1.9,0.012,EPI
555,74-31-7,NA,"N,N'-Diphenyl-1,4-benzenediamine",260,PHYSPROP,8.4E-009,2.1E-010,PHYSPROP,6.4E-009,EPI,140,PHYSPROP,NA,,0.047,0.0000054,WATER 9,NA,,52000,EPI,4,PHYSPROP,7.4,PHYSPROP,0.16,3,7.2,0.026,EPI
556,74-83-9,"Metano, bromo -",Bromomethane,95,PHYSPROP,0.3,0.0073,PHYSPROP,1600,PHYSPROP,-94,PHYSPROP,1.7,CRC89,0.1,0.000013,WATER 9,NA,,13,EPI,1.2,PHYSPROP,15000,PHYSPROP,0.011,0.36,0.86,0.0028,EPI
557,74-87-3,"Metano, cloro -",Chloromethane,50,PHYSPROP,0.36,0.0088,PHYSPROP,4300,PHYSPROP,-98,PHYSPROP,0.91,CRC89,0.12,0.000014,WATER 9,NA,,13,EPI,0.91,PHYSPROP,5300,PHYSPROP,0.009,0.2,0.48,0.0033,EPI
558,74-90-8,Ácido hidrociánico,~Hydrogen Cyanide,27,PHYSPROP,0.0054,0.00013,PHYSPROP,740,PHYSPROP,-13,PHYSPROP,0.69,CRC89,0.17,0.000017,WATER 9,9.9,SSL,NA,,-0.25,PHYSPROP,1000000,PHYSPROP,0.002,0.15,0.36,0.001,RAGSE
559,74-95-3,"Metano, dibromo -",Dibromomethane (Methylene Bromide),170,PHYSPROP,0.034,0.00082,PHYSPROP,44,PHYSPROP,-53,PHYSPROP,2.5,CRC89,0.055,0.000012,WATER 9,NA,,22,EPI,1.7,PHYSPROP,12000,PHYSPROP,0.011,0.99,2.4,0.0022,EPI
560,74-97-5,"Metano, bromocloro -",Bromochloromethane,130,PHYSPROP,0.06,0.0015,EPI,140,PHYSPROP,-88,PHYSPROP,1.9,CRC89,0.079,0.000012,WATER 9,NA,,22,EPI,1.4,PHYSPROP,17000,PHYSPROP,0.011,0.56,1.3,0.0026,EPI
561,74051-80-2,"2-ciclohexen-1-ona, 2 - [1 - (etoxiimino) butil] -5 - [2 - (etiltio) propil]-3-hidroxi -",Sethoxydim,330,PHYSPROP,8.8E-010,2.2E-011,PHYSPROP,0.00000016,PHYSPROP,160,EPI,1,CRC89,0.02,0.0000048,WATER 9,NA,,4400,EPI,4.4,PHYSPROP,25,PHYSPROP,0.13,7.2,17,0.019,EPI
562,74115-24-5,"1,2,4,5-Tetrazina, 3,6-bis (2-clorofenil) -",Clofentezine,300,PHYSPROP,0.000000016,3.9E-010,EPI,0.000000001,PHYSPROP,180,PHYSPROP,NA,,0.042,0.0000049,WATER 9,NA,,30000,EPI,3.1,PHYSPROP,1,PHYSPROP,0.024,5.2,13,0.0036,EPI
563,74223-64-6,"Ácido benzoico, 2 -[[[[( 4-metoxi-6-metil-1 ,3,5-triazin-2-il) amino] carbonil] amino] sulfonil] -, metil éster",Metsulfuron-methyl,380,PHYSPROP,5.4E-015,1.3E-016,EPI,2.5E-012,PHYSPROP,160,PHYSPROP,NA,,0.036,0.0000042,WATER 9,NA,,93,EPI,2.2,PHYSPROP,9500,PHYSPROP,0.0025,14,34,0.00033,EPI
564,7429-90-5,Aluminio,Aluminum,27,CRC89,NA,NA,,0,NIOSH,660,CRC89,2.7,CRC89,NA,NA,,1500,BAES,NA,,NA,,NA,,0.002,0.15,0.36,0.001,RAGSE
565,7439-89-6,Hierro,Iron,56,PHYSPROP,NA,NA,,0,NIOSH,1500,CRC89,7.9,CRC89,NA,NA,,25,BAES,NA,,NA,,NA,,0.0029,0.22,0.52,0.001,RAGSE
566,7439-91-0,NA,Lanthanum,140,EPI,NA,NA,,NA,,920,CRC89,6.2,CRC89,NA,NA,,NA,,NA,,NA,,NA,,0.0045,0.63,1.5,0.001,RAGSE
567,7439-92-1,Plomo,~Lead and Compounds,210,EPI,NA,NA,,0,NIOSH,330,EPI,11,CRC89,NA,NA,,900,BAES,NA,,NA,,NA,,0.00055,1.5,3.7,0.0001,RAGSE
568,7439-93-2,Litio,Lithium,6.9,EPI,NA,NA,,NA,,180,CRC89,0.53,CRC89,NA,NA,,300,BAES,NA,,NA,,NA,,0.001,0.12,0.28,0.001,RAGSE
569,7439-96-5,Manganeso,Manganese (Non-diet),55,PHYSPROP,NA,NA,,0,NIOSH,1200,PHYSPROP,7.3,CRC89,NA,NA,,65,BAES,NA,,NA,,NA,,0.0029,0.21,0.51,0.001,RAGSE
570,7439-96-5,Manganeso,Manganese (Diet),55,PHYSPROP,NA,NA,,0,NIOSH,1200,PHYSPROP,7.3,CRC89,NA,NA,,65,BAES,NA,,NA,,NA,,0.0029,0.21,0.51,0.001,RAGSE
571,7439-97-6,Mercurio,~Mercury (elemental),200,PHYSPROP,0.35,0.0086,PHYSPROP VP/S,0.002,PHYSPROP,-39,PHYSPROP,14,CRC89,0.031,0.0000063,WATER 9,52,SSL,NA,,0.62,PHYSPROP,0.06,PHYSPROP,0.0054,1.4,3.4,0.001,RAGSE
572,7439-98-7,Molibdeno,Molybdenum,96,PHYSPROP,NA,NA,,0,NIOSH,2600,PHYSPROP,10,CRC89,NA,NA,,20,BAES,NA,,NA,,NA,,0.0038,0.36,0.87,0.001,RAGSE
573,7440-02-0,Níquel,Nickel Soluble Salts,59,PHYSPROP,NA,NA,,0,NIOSH,1500,CRC89,8.9,CRC89,NA,NA,,65,SSL,NA,,NA,,NA,,0.00059,0.22,0.54,0.0002,RAGSE
574,7440-22-4,Plata,Silver,110,PHYSPROP,NA,NA,,0,NIOSH,960,PHYSPROP,11,CRC89,NA,NA,,8.3,SSL,NA,,NA,,NA,,0.0024,0.42,1,0.0006,RAGSE
575,7440-24-6,Estroncio,"Strontium, Stable",88,PHYSPROP,NA,NA,,NA,,780,PHYSPROP,2.6,CRC89,NA,NA,,35,BAES,NA,,NA,,NA,,0.0036,0.33,0.78,0.001,RAGSE
576,7440-28-0,Talio,Thallium (Soluble Salts),200,EPI,NA,NA,,NA,,300,PHYSPROP,12,CRC89,NA,NA,,71,SSL,NA,,NA,,NA,,0.0055,1.5,3.5,0.001,RAGSE
577,7440-31-5,Esta±o,Tin,120,CRC89,NA,NA,,0,NIOSH,13,CRC89,7.3,CRC89,NA,NA,,250,BAES,NA,,NA,,NA,,0.0042,0.49,1.2,0.001,RAGSE
578,7440-33-7,Tungsteno,Tungsten,180,PHYSPROP,NA,NA,,0,NIOSH,3400,PHYSPROP,19,CRC89,NA,NA,,150,BAES,NA,,NA,,NA,,0.0052,1.1,2.7,0.001,RAGSE
579,7440-36-0,Antimonio,Antimony (metallic),120,CRC89,NA,NA,,0,NIOSH,630,PHYSPROP,6.7,CRC89,NA,NA,,45,SSL,NA,,NA,,NA,,0.0042,0.51,1.2,0.001,RAGSE
580,7440-38-2,Arsénico,"Arsenic, Inorganic",75,CRC89,NA,NA,,NA,,270,CRC89,4.9,CRC89,NA,NA,,29,SSL,NA,,NA,,NA,,0.0033,0.28,0.66,0.001,RAGSE
581,7440-39-3,Bario,Barium,140,EPI,NA,NA,,NA,,710,PHYSPROP,3.6,CRC89,NA,NA,,41,SSL,NA,,NA,,NA,,0.0045,0.62,1.5,0.001,RAGSE
582,7440-41-7,Berilio,Beryllium and compounds,9,EPI,NA,NA,,0,NIOSH,990,PHYSPROP,1.9,CRC89,NA,NA,,790,SSL,NA,,NA,,NA,,0.0012,0.12,0.28,0.001,RAGSE
583,7440-42-8,Boro,Boron And Borates Only,14,EPI,NA,NA,,NA,,2100,CRC89,2.3,CRC89,NA,NA,,3,BAES,NA,,NA,,NA,,0.0014,0.13,0.3,0.001,RAGSE
584,7440-43-9,Cadmio,Cadmium (Water),110,PHYSPROP,NA,NA,,0,NIOSH,320,PHYSPROP,8.7,CRC89,NA,NA,,75,SSL,NA,,NA,,NA,,0.0041,0.45,1.1,0.001,RAGSE
585,7440-43-9,Cadmio,Cadmium (Diet),110,PHYSPROP,NA,NA,,0,NIOSH,320,PHYSPROP,8.7,CRC89,NA,NA,,75,SSL,NA,,NA,,NA,,0.0041,0.45,1.1,0.001,RAGSE
586,7440-47-3,Cromo,"Chromium, Total",52,PHYSPROP,NA,NA,,NA,,1900,PHYSPROP,7.2,CRC89,NA,NA,,1800000,SSL,NA,,NA,,NA,,0.0028,0.21,0.49,0.001,RAGSE
587,7440-48-4,Cobalto,Cobalt,59,EPI,NA,NA,,0,NIOSH,1500,CRC89,8.9,CRC89,NA,NA,,45,BAES,NA,,NA,,NA,,0.0012,0.22,0.54,0.0004,RAGSE
588,7440-50-8,Cobre,Copper,64,PHYSPROP,NA,NA,,0,NIOSH,1100,PHYSPROP,9,CRC89,NA,NA,,35,BAES,NA,,NA,,NA,,0.0031,0.24,0.57,0.001,RAGSE
589,7440-61-1,Uranio,Uranium,240,CRC89,NA,NA,,0,NIOSH,1100,CRC89,19,CRC89,NA,NA,,450,BAES,NA,,NA,,NA,,0.0059,2.3,5.4,0.001,RAGSE
590,7440-62-2,Vanadio,Vanadium and Compounds,51,EPI,NA,NA,,NA,,1900,CRC89,6,CRC89,NA,NA,,1000,SSL,NA,,NA,,NA,,0.0027,0.2,0.49,0.001,RAGSE
591,7440-66-6,Cinc,Zinc and Compounds,65,PHYSPROP,NA,NA,,NA,,420,PHYSPROP,7.1,CRC89,NA,NA,,62,SSL,NA,,NA,,NA,,0.0019,0.24,0.59,0.0006,RAGSE
592,7440-67-7,Circonio,Zirconium,91,EPI,NA,NA,,0,NIOSH,1900,CRC89,6.5,CRC89,NA,NA,,3000,BAES,NA,,NA,,NA,,0.0037,0.34,0.82,0.001,RAGSE
593,7446-11-9,NA,Sulfur Trioxide,80,PHYSPROP,NA,NA,,260,PHYSPROP,17,PHYSPROP,1.9,CRC89,0.12,0.000016,WATER 9,NA,,NA,,NA,,NA,,0.0034,0.3,0.71,0.001,RAGSE
594,7446-18-6,"Ácido sulfúrico, sal de talio (1 +)  (1:2)",Thallium Sulfate,500,PHYSPROP,NA,NA,,NA,,630,PHYSPROP,6.8,CRC89,NA,NA,,NA,,NA,,NA,,55000,CRC89,0.0086,71,170,0.001,RAGSE
595,7446-27-7,"Ácido fosfórico, sal de plomo (2 +)  (2:3)",~Lead Phosphate,810,PHYSPROP,NA,NA,,NA,,1000,PHYSPROP,7,CRC89,NA,NA,,NA,,NA,,NA,,0,CRC89,0.011,3700,8800,0.001,RAGSE
596,7446-34-6,"Sulfuro de selenio (SES) (6CI, 7CI, 8CI, 9CI)",Selenium Sulfide,110,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0041,0.44,1.1,0.001,RAGSE
597,74472-37-0,NA,"~Pentachlorobiphenyl, 2,3,4,4',5- (PCB 114)",330,PHYSPROP,0.0038,0.000092,PHYSPROP,0.0000055,PHYSPROP,98,PHYSPROP,1.5,LookChem,0.047,0.0000061,WATER 9,NA,,130000,EPI,7,PHYSPROP,0.016,PHYSPROP,6.9,7.1,32,1,EPI
598,74612-12-7,NA,"Methylbenzene,1-4-diamine monohydrochloride, 2-",160,PubChem,NA,NA,,NA,,NA,,NA,,0.065,0.0000076,WATER 9,NA,,NA,,NA,,NA,,NA,0.81,2,NA,
599,7487-94-7,Cloruro de mercurio (hgcl2),~Mercuric Chloride (and other Mercury salts),270,PHYSPROP,NA,NA,,NA,,280,PHYSPROP,5.6,CRC89,NA,NA,,NA,,NA,,-0.22,PHYSPROP,69000,PHYSPROP,0.0063,3.5,8.4,0.001,RAGSE
600,75-00-3,"Etano, cloro -",Ethyl Chloride (Chloroethane),65,PHYSPROP,0.45,0.011,PHYSPROP,1000,PHYSPROP,-140,PHYSPROP,0.89,CRC89,0.1,0.000012,WATER 9,NA,,22,EPI,1.4,PHYSPROP,6700,PHYSPROP,0.019,0.24,0.58,0.0061,EPI
601,75-01-4,"Etileno, cloro -",Vinyl Chloride,62,PHYSPROP,1.1,0.028,PHYSPROP,3000,EPI,-150,PHYSPROP,0.91,CRC89,0.11,0.000012,WATER 9,NA,,22,EPI,1.4,CRC89,8800,PHYSPROP,0.025,0.24,0.57,0.0084,EPI
602,75-05-8,Acetonitrilo,Acetonitrile,41,PHYSPROP,0.0014,0.000035,PHYSPROP,89,PHYSPROP,-44,PHYSPROP,0.79,CRC89,0.13,0.000014,WATER 9,NA,,4.7,EPI,-0.34,PHYSPROP,1000000,PHYSPROP,0.0014,0.18,0.43,0.00055,EPI
603,75-07-0,Acetaldehído,Acetaldehyde,44,PHYSPROP,0.0027,0.000067,PHYSPROP,900,PHYSPROP,-120,PHYSPROP,0.78,CRC89,0.13,0.000014,WATER 9,NA,,1,EPI,-0.34,PHYSPROP,1000000,PHYSPROP,0.0013,0.19,0.45,0.00053,EPI
604,75-09-2,"Metano, dicloro -",Methylene Chloride,85,PHYSPROP,0.13,0.0033,PHYSPROP,440,PHYSPROP,-95,PHYSPROP,1.3,CRC89,0.1,0.000013,WATER 9,NA,,22,EPI,1.3,PHYSPROP,13000,PHYSPROP,0.013,0.31,0.75,0.0035,EPI
605,75-15-0,Disulfuro de carbono,Carbon Disulfide,76,PHYSPROP,0.59,0.014,PHYSPROP,360,PHYSPROP,-110,PHYSPROP,1.3,CRC89,0.11,0.000013,WATER 9,NA,,22,EPI,1.9,PHYSPROP,2200,PHYSPROP,0.038,0.28,0.67,0.011,EPI
606,75-21-8,Oxirano,Ethylene Oxide,44,PHYSPROP,0.0061,0.00015,PHYSPROP,1300,PHYSPROP,-110,PHYSPROP,0.88,CRC89,0.13,0.000015,WATER 9,NA,,3.2,EPI,-0.3,PHYSPROP,1000000,PHYSPROP,0.0014,0.19,0.45,0.00056,EPI
607,75-25-2,"Metano, tribromo -",Bromoform,250,PHYSPROP,0.022,0.00054,PHYSPROP,5.4,EPI,8,PHYSPROP,2.9,CRC89,0.036,0.00001,WATER 9,NA,,32,EPI,2.4,PHYSPROP,3100,PHYSPROP,0.014,2.7,6.6,0.0024,EPI
608,75-27-4,"Metano, bromodicloro -",Bromodichloromethane,160,PHYSPROP,0.087,0.0021,PHYSPROP,50,PHYSPROP,-57,PHYSPROP,2,CRC89,0.056,0.000011,WATER 9,NA,,32,EPI,2,PHYSPROP,3000,PHYSPROP,0.02,0.87,2.1,0.004,EPI
609,75-34-3,"Etano, 1,1-dicloro -","Dichloroethane, 1,1-",99,PHYSPROP,0.23,0.0056,PHYSPROP,230,PHYSPROP,-97,PHYSPROP,1.2,CRC89,0.084,0.000011,WATER 9,NA,,32,EPI,1.8,PHYSPROP,5000,PHYSPROP,0.026,0.38,0.9,0.0068,EPI
610,75-35-4,"Etileno, 1,1-dicloro -","Dichloroethylene, 1,1-",97,PHYSPROP,1.1,0.026,PHYSPROP,600,PHYSPROP,-120,PHYSPROP,1.2,CRC89,0.086,0.000011,WATER 9,NA,,32,EPI,2.1,PHYSPROP,2400,PHYSPROP,0.044,0.37,0.88,0.012,EPI
611,75-37-6,"Etano, 1,1-difluoro -","Difluoroethane, 1,1-",66,PHYSPROP,0.83,0.02,PHYSPROP,4600,PHYSPROP,-120,PHYSPROP,0.9,CRC89,0.1,0.000012,WATER 9,NA,,32,EPI,0.75,PHYSPROP,3200,PHYSPROP,0.0066,0.25,0.59,0.0021,EPI
612,75-44-5,Dicloruro carbónico,Phosgene,99,PHYSPROP,0.68,0.017,PHYSPROP,1400,PHYSPROP,-120,PHYSPROP,1.4,CRC89,0.089,0.000012,WATER 9,NA,,1,EPI,-0.71,PHYSPROP,6800,YAWS,0.00056,0.38,0.9,0.00015,EPI
613,75-45-6,"Metano, clorodifluoro -",Chlorodifluoromethane,86,PHYSPROP,1.7,0.041,PHYSPROP,7300,PHYSPROP,-160,PHYSPROP,1.5,CRC89,0.1,0.000013,WATER 9,NA,,32,EPI,1.1,PHYSPROP,2800,PHYSPROP,0.0096,0.32,0.77,0.0027,EPI
614,75-52-5,"Metano, nitro -",Nitromethane,61,PHYSPROP,0.0012,0.000029,PHYSPROP,36,PHYSPROP,-29,PHYSPROP,1.1,CRC89,0.12,0.000014,WATER 9,NA,,10,EPI,-0.35,PHYSPROP,110000,PHYSPROP,0.0013,0.23,0.55,0.00042,EPI
615,75-56-9,"Oxirano, 2-metil -",Propylene Oxide,58,PHYSPROP,0.0028,0.00007,EPI,540,PHYSPROP,-110,PHYSPROP,0.83,PERRY,0.11,0.000012,WATER 9,NA,,5.2,EPI,0.03,PHYSPROP,590000,PHYSPROP,0.0023,0.22,0.53,0.00077,EPI
616,75-60-5,"Ácido arsinico, as, as-dimetil -",Cacodylic Acid,140,PHYSPROP,7.4E-013,1.8E-014,PHYSPROP,0.0000001,PHYSPROP,200,PHYSPROP,NA,,0.071,0.0000083,WATER 9,NA,,44,EPI,0.36,PHYSPROP,2000000,PHYSPROP,0.0021,0.62,1.5,0.00046,EPI
617,75-68-3,"Etano, 1-cloro-1 ,1-difluoro -","Chloro-1,1-difluoroethane, 1-",100,PHYSPROP,2.4,0.059,PHYSPROP,2500,PHYSPROP,-130,PHYSPROP,1.1,CRC89,0.08,0.00001,WATER 9,NA,,44,EPI,2.1,PHYSPROP,1400,PHYSPROP,0.038,0.38,0.92,0.0099,EPI
618,75-69-4,"Metano, triclorofluoro -",Trichlorofluoromethane,140,PHYSPROP,4,0.097,PHYSPROP,800,PHYSPROP,-110,PHYSPROP,1.5,CRC89,0.065,0.00001,WATER 9,NA,,44,EPI,2.5,PHYSPROP,1100,PHYSPROP,0.057,0.62,1.5,0.013,EPI
619,75-71-8,"Metano, diclorodifluoro -",Dichlorodifluoromethane,120,PHYSPROP,14,0.34,PHYSPROP,4800,PHYSPROP,-160,PHYSPROP,1.5,PERRY,0.076,0.000011,WATER 9,NA,,44,EPI,2.2,PHYSPROP,280,PHYSPROP,0.038,0.5,1.2,0.009,EPI
